gene,GO
ABCE1,GO:0000054
THIM,GO:0003985
ACT.23.27.m.58454,GO:0005524
ACTC,GO:0005524
ACT.5.27.m.15585,GO:0005524
ACT1,GO:0005524
ACT3,GO:0005524
ACT.3.6.m.21571,GO:0005524
HTS,GO:0000212
KAD9.2.3.m.49697,GO:0004550
KAD9.3.3.m.63103,GO:0004550
ALF,GO:0004332
ARP3,GO:0005200
AT1A,GO:0005391
AT2B3,GO:0005388
ATPB,GO:0005524
SVEP1,GO:0005509
RS17,GO:0003735
IDHP,GO:0000287
TEKT4,GO:0030030
ARMC4,GO:0003341
GLSN,GO:0005506
PDC6I,GO:0000281
RS13,GO:0003735
EIF3D,GO:0001732
RS26,GO:0002181
RPN1,GO:0004579
CRB,GO:0001745
C1QL4,GO:0005581
CALUB,GO:0005509
CALX,GO:0005509
CRNS1,GO:0005524
CATA.1.3.m.11120,GO:0004096
CATA.3.3.m.21642,GO:0004096
CNDP2,GO:0004180
MLP,GO:0005176
TITIN.m.27774,GO:0000794
CROCC,GO:0001917
COPG2,GO:0000139
DYH7.2.3.m.32353,GO:0003341
DYH5.1.2.m.56799,GO:0003341
DYH5.2.2.m.61452,GO:0003341
DYH6,GO:0005524
DYH7.2.2.m.46648,GO:0003341
H2B7,GO:0000786
DYH1,GO:0003351
DYH2.1.1.m.28905,GO:0005524
DYHC,GO:0003777
EF1A.2.4.m.50858,GO:0003746
EF1A.1.3.m.30022,GO:0003746
EF2.4.5.m.30186,GO:0003746
EF2.5.5.m.39855,GO:0003746
ENO,GO:0000015
FAS,GO:0003697
FLNA.2.6.m.11845,GO:0000278
FLNA.2.5.m.37450,GO:0001664
FLNA.3.5.m.38669,GO:0001664
FLNC,GO:0005829
GBLP,GO:0005840
GELS2,GO:0005737
BIP,GO:0005524
HMCN1,GO:0005201
HSP7D,GO:0005524
H90A1,GO:0005524
IDLC,GO:0003774
SODC,GO:0000187
ANM1,GO:0003713
ITB1.1.1.m.59423,GO:0005925
KARG,GO:0004054
KCY,GO:0004127
KS6A3,GO:0000287
RLA2,GO:0003735
GRN,GO:0003723
TBB.1.1.m.57452,GO:0000226
PDCD5,GO:0003677
CFA45,GO:0005634
ASNS,GO:0004066
DLRB2,GO:0003774
GLYC,GO:0004372
AN32A,GO:0005634
DYH10,GO:0005524
SDCB1,GO:0002091
HYDIN.2.6.m.7640,GO:0002064
HYDIN.4.6.m.27594,GO:0002064
YD541.1.2.m.22540,GO:0016491
YD541.2.2.m.55240,GO:0016491
PRP19,GO:0000244
RPN2,GO:0006487
TEKT1,GO:0005634
SPTCB,GO:0003779
SPTN5,GO:0000165
PMFBP,GO:0001520
CFA61,GO:0003341
SSPO.3.8.m.32060,GO:0005615
SSPO.6.8.m.41866,GO:0005615
SSPO.7.8.m.41875,GO:0005615
CALR.1.3.m.35108,GO:0005509
CALR.2.3.m.36820,GO:0005509
IFEA.2.3.m.44496,GO:0005198
ITIH4.1.1.m.39091,GO:0004867
NXN,GO:0005634
DMBT1,GO:0001530
FAT4.1.1.m.65727,GO:0001658
LAMA,GO:0005102
SYNE1.1.2.m.37063,GO:0000932
SYNE1.2.2.m.54514,GO:0000932
MLRA,GO:0005509
CMC,GO:0005313
ATPD,GO:0000275
PPIA,GO:0003755
CO6A3,GO:0003429
DYH2.1.2.m.24785,GO:0005524
TBB.6.7.m.57854,GO:0003924
PCY2,GO:0004306
CATL,GO:0005764
CP135,GO:0005814
AMY1,GO:0004556
ITB1.1.1.m.21821,GO:0005925
IFEA.1.1.m.42880,GO:0005198
FKB14.1.4.m.6122,GO:0003755
FKB14.3.4.m.26463,GO:0003755
RL3,GO:0000027
ITIH4.1.1.m.39811,GO:0002576
ACT.1.1.m.53937,GO:0005524
TBA,GO:0005200
EFCB6,GO:0005509
MATN1,GO:0003429
FAT4.1.1.m.34344,GO:0001658
MLE,GO:0005509
MYO15,GO:0003774
MYS.4.7.m.18188,GO:0003774
MYS.7.7.m.44342,GO:0003774
MYSP.5.9.m.28124,GO:0003774
MYSP.8.9.m.44813,GO:0003774
PPIB,GO:0000413
SNO1,GO:0004499
ACT.1.1.m.21817,GO:0005524
OST48,GO:0006486
PAN2,GO:0000289
ACT.1.1.m.44693,GO:0005524
PCCA,GO:0004658
PCKG,GO:0004613
PDIA1,GO:0003756
PGBM,GO:0001523
UNC22.2.7.m.2274,GO:0004674
UNC22.3.7.m.20773,GO:0004674
UNC22.5.7.m.43551,GO:0004674
UNC22.7.7.m.54053,GO:0004674
LAMC1,GO:0005604
PLOD3,GO:0001701
PSMD2,GO:0000502
RCC1,GO:0000082
RL18A,GO:0000184
HEXP,GO:0003677
ROAA,GO:0000122
RS3A,GO:0003735
RS5,GO:0000028
S4A8,GO:0005452
SACS,GO:0005634
COR1B,GO:0001725
ZASP,GO:0001725
SPTCA.1.2.m.1905,GO:0003779
SPTCA.2.2.m.25615,GO:0003779
ZAN,GO:0005886
SYRC,GO:0004814
TBA3.2.9.m.9962,GO:0000226
TBA1,GO:0000226
TBA1A,GO:0000226
TBA3.1.1.m.5111,GO:0000226
TBB4,GO:0000226
TBB.1.1.m.40048,GO:0003924
TBB.1.7.m.12262,GO:0003924
TBB.7.7.m.63980,GO:0003924
TCPD,GO:0005524
UNC22.19.19.m.66288,GO:0004674
TITIN.8.19.m.35861,GO:0000794
TLN1,GO:0001726
TPP2,GO:0000209
TYRO,GO:0005576
U5S1,GO:0000398
VIGLN,GO:0003723
XRN2,GO:0000738
ZFR,GO:0003677
ABCE1,GO:0005506
THIM,GO:0003988
ACT.23.27.m.58454,GO:0005737
ACTC,GO:0005737
ACT.5.27.m.15585,GO:0005737
ACT1,GO:0005737
ACT3,GO:0005737
ACT.3.6.m.21571,GO:0005737
HTS,GO:0005198
KAD9.2.3.m.49697,GO:0005524
KAD9.3.3.m.63103,GO:0005524
ALF,GO:0006096
ARP3,GO:0005524
AT1A,GO:0005524
AT2B3,GO:0005516
ATPB,GO:0005743
SVEP1,GO:0005576
RS17,GO:0005840
IDHP,GO:0004450
TEKT4,GO:0031514
ARMC4,GO:0003356
GLSN,GO:0006541
PDC6I,GO:0000915
RS13,GO:0005730
EIF3D,GO:0002191
RS26,GO:0003735
RPN1,GO:0005791
CRB,GO:0003383
C1QL4,GO:0005615
CALUB,GO:0005576
CALX,GO:0005783
CRNS1,GO:0005829
CATA.1.3.m.11120,GO:0005777
CATA.3.3.m.21642,GO:0005777
CNDP2,GO:0005654
MLP,GO:0005509
TITIN.m.27774,GO:0002020
CROCC,GO:0003779
COPG2,GO:0005198
DYH7.2.3.m.32353,GO:0005509
DYH5.1.2.m.56799,GO:0005524
DYH5.2.2.m.61452,GO:0005524
DYH6,GO:0005858
DYH7.2.2.m.46648,GO:0003777
H2B7,GO:0003677
DYH1,GO:0003777
DYH2.1.1.m.28905,GO:0005874
DYHC,GO:0005524
EF1A.2.4.m.50858,GO:0003924
EF1A.1.3.m.30022,GO:0003924
EF2.4.5.m.30186,GO:0003924
EF2.5.5.m.39855,GO:0003924
ENO,GO:0000287
FAS,GO:0004312
FLNA.2.6.m.11845,GO:0003779
FLNA.2.5.m.37450,GO:0002576
FLNA.3.5.m.38669,GO:0002576
FLNC,GO:0005856
GBLP,GO:0030178
GELS2,GO:0005856
BIP,GO:0005788
HMCN1,GO:0005509
HSP7D,GO:0005634
H90A1,GO:0005634
IDLC,GO:0005737
SODC,GO:0000302
ANM1,GO:0005634
ITB1.1.1.m.59423,GO:0007160
KARG,GO:0005524
KCY,GO:0004550
KS6A3,GO:0001501
RLA2,GO:0005840
GRN,GO:0005125
TBB.1.1.m.57452,GO:0000278
PDCD5,GO:0005634
CFA45,GO:0005654
ASNS,GO:0005524
DLRB2,GO:0005868
GLYC,GO:0005829
AN32A,GO:0005737
DYH10,GO:0005737
SDCB1,GO:0005137
HYDIN.2.6.m.7640,GO:0003341
HYDIN.4.6.m.27594,GO:0003341
YD541.1.2.m.22540,GO:0016616
YD541.2.2.m.55240,GO:0016616
PRP19,GO:0000245
RPN2,GO:0008250
TEKT1,GO:0005737
SPTCB,GO:0005200
