gene,GO
1433Z.1.2.m.5643,GO:0005737
1433Z.2.2.m.61737,GO:0005737
2AAA,GO:0000159
TPD54,GO:0003723
RS27A.1.2.m.28362,GO:0003735
ACT.23.27.m.58454,GO:0005524
ACT.5.27.m.15585,GO:0005524
ACT.6.27.m.15622,GO:0005524
ACT3,GO:0005524
ACT3A,GO:0005524
NDUS6,GO:0005739
ACTN,GO:0005509
HTS.2.5.m.15081,GO:0000212
HTS.3.5.m.17639,GO:0000212
NDKB,GO:0001726
AGRIN,GO:0001932
KAD9.2.3.m.49697,GO:0004550
KAD9.3.3.m.63103,GO:0004550
ARP3,GO:0005200
ARPC2,GO:0005200
ATPB,GO:0005524
SVEP1,GO:0005509
MYCBP,GO:0003713
TEKT4,GO:0030030
SSPO.2.5.m.17419,GO:0005615
PRDX5,GO:0001016
TEKT2,GO:0005634
UAP1,GO:0003977
POSTN,GO:0001666
MIEAP,GO:0005737
RS13,GO:0003735
MTHSD,GO:0003723
CHIA,GO:0000272
FBP3,GO:0005509
C1QL4.2.13.m.10914,GO:0005581
CRB,GO:0001745
IF44L,GO:0005525
PACRG,GO:0001664
C1QL4.3.7.m.5968,GO:0005581
CALU,GO:0005509
CRNS1,GO:0005524
CATA.1.3.m.11120,GO:0004096
CATA.3.3.m.21642,GO:0004096
CALL,GO:0005509
CNDP2,GO:0004180
CO6A3.2.5.m.39533,GO:0003429
CO6A3.3.5.m.39796,GO:0003429
PDLI7,GO:0001503
TITIN.m.27774,GO:0000794
COX5B,GO:0004129
H2A,GO:0000786
RSSA,GO:0000028
FABP1.1.1.m.5763,GO:0005737
TRPT1,GO:0000215
RAN,GO:0003924
ODP2,GO:0004742
DLDH,GO:0001669
DYH7.2.3.m.32353,GO:0003341
DYH5.1.2.m.56799,GO:0003341
DYH5.2.2.m.61452,GO:0003341
DYH6,GO:0005524
DYH7.2.2.m.46648,GO:0003341
GDIR1,GO:0001772
HSPB1,GO:0001932
PPIB.1.1.m.10086,GO:0000413
H2B7,GO:0000786
EXC4,GO:0002064
DYH1,GO:0003351
DYH2.1.1.m.28905,GO:0005524
DYHC,GO:0003777
EF1A.2.4.m.50858,GO:0003746
EF1A.1.3.m.30022,GO:0003746
EF2.4.5.m.30186,GO:0003746
EF2.5.5.m.39855,GO:0003746
ETIF1,GO:0003723
IF5A1,GO:0003746
ENO,GO:0000015
ERF3A,GO:0000184
FABP7,GO:0005737
GSTA.1.1.m.54271,GO:0004364
FAS,GO:0003697
FLNA.2.6.m.11845,GO:0000278
FLNA.2.5.m.37450,GO:0001664
ARPC5,GO:0005200
GELS2,GO:0005737
BIP,GO:0005524
GST,GO:0004364
GSTO1,GO:0004364
HMCN1.19.44.m.39500,GO:0005201
HMCN1.23.44.m.42684,GO:0005201
HMCN1.28.44.m.47379,GO:0005201
TITIN.9.12.m.44986,GO:0000794
HSP7D,GO:0005524
H90A1,GO:0005524
IDLC,GO:0003774
IF2A,GO:0003743
NDUS3,GO:0003954
ERP29,GO:0000187
ANM1,GO:0003713
KARG,GO:0004054
KCY.1.1.m.29973,GO:0004127
RL402,GO:0003735
UNC89,GO:0004672
CO6A4.1.3.m.5994,GO:0005576
VATF,GO:0015991
MYDGF.1.1.m.22032,GO:0001525
KCY.1.1.m.2987,GO:0004127
RLA2.1.7.m.1896,GO:0003735
RLA2.4.7.m.28172,GO:0003735
USPAL,GO:0005886
RL6,GO:0000027
CFA45,GO:0005634
ASNS,GO:0004066
GLYC,GO:0004372
YR811,GO:0004842
VWKA,GO:0000281
AN32A,GO:0005634
DYH10,GO:0005524
PPIB.1.1.m.55368,GO:0000413
ALRF2,GO:0003697
HYDIN.2.6.m.7640,GO:0002064
HYDIN.4.6.m.27594,GO:0002064
YD541,GO:0016491
HPGDS,GO:0000287
RS12,GO:0003735
TEKT1,GO:0005634
SPTCB,GO:0003779
SPTN5,GO:0000165
PMFBP.1.2.m.13657,GO:0001520
PMFBP.2.2.m.43339,GO:0001520
CFA61,GO:0003341
PLCL,GO:0005576
CO6A3.5.9.m.39538,GO:0003429
CO6A4.6.9.m.44250,GO:0005576
SSPO.3.8.m.32060,GO:0005615
SSPO.6.8.m.41866,GO:0005615
SSPO.7.8.m.41875,GO:0005615
CALR,GO:0005509
IFEA.2.3.m.44496,GO:0005198
FABP1.2.2.m.52097,GO:0005737
CO6A3.1.1.m.64152,GO:0003429
BP10,GO:0004222
ITIH4,GO:0004867
DMBT1,GO:0001530
FAT4.1.1.m.65727,GO:0001658
AL7A1,GO:0004043
CO6A3.1.2.m.17960,GO:0003429
CAP1.1.2.m.7245,GO:0000902
CAP1.2.2.m.45011,GO:0000902
MSRB2,GO:0003779
PAIRB,GO:0003730
TXD17,GO:0004601
SKP1,GO:0005829
LAMA,GO:0005102
ACTB3,GO:0005524
MLRA,GO:0005509
L2EFL,GO:0007275
H4,GO:0000786
MUC1.1.2.m.17333,GO:0000790
MYDGF.1.2.m.6533,GO:0001525
VWDE.3.3.m.29759,GO:0005102
ATPD,GO:0000275
PPIA,GO:0003755
CO6A3.2.4.m.33982,GO:0003429
DYH2.1.2.m.24785,GO:0005524
CG031,GO:0005737
TTC25,GO:0005737
TBA.2.2.m.57790,GO:0005200
AMY1,GO:0004556
IFEA.1.1.m.42880,GO:0005198
EFTU,GO:0003746
FKB14,GO:0003755
LNEBL,GO:0030018
ACT.1.1.m.53937,GO:0005524
TBA.1.1.m.57578,GO:0005200
EFCB6,GO:0005509
LRP5,GO:0001702
LYS3,GO:0003796
CO6A4.2.5.m.45361,GO:0005576
MATN1,GO:0003429
FAT4.1.1.m.34344,GO:0001658
MDHC,GO:0005615
MLE,GO:0005509
MYS.4.7.m.18188,GO:0003774
MYS.7.7.m.44342,GO:0003774
MYSP.1.9.m.1097,GO:0003774
MYSP.4.9.m.2302,GO:0003774
MYSP.8.9.m.44813,GO:0003774
MEP1A,GO:0004222
RS27A.1.1.m.22912,GO:0003735
CATL1,GO:0004177
PPIB.1.1.m.1745,GO:0000413
SNO1,GO:0004499
ACT.1.1.m.21817,GO:0005524
TGM1,GO:0003810
NPC2.5.7.m.30911,GO:0005615
NPC2.6.7.m.31030,GO:0005615
PABP4,GO:0003723
ACTM,GO:0005524
PCKG,GO:0004613
NFASC,GO:0002175
PGBM,GO:0001523
UNC22.2.7.m.2274,GO:0004674
UNC22.3.7.m.20773,GO:0004674
UNC22.5.7.m.43551,GO:0004674
UNC22.7.7.m.54053,GO:0004674
CNN3,GO:0003779
PIF,GO:0005576
PPIB.2.4.m.40019,GO:0003755
GSTA.2.2.m.34365,GO:0004364
PSA,GO:0004177
RSPH1,GO:0000794
RBBP4,GO:0000790
MUC1.1.2.m.4308,GO:0000790
RL10A,GO:0000470
RL18A.1.8.m.12900,GO:0000184
RL18A.6.8.m.61646,GO:0000184
RL23A,GO:0000027
RL9,GO:0002181
RLA1,GO:0003735
HEXP,GO:0003677
RS23,GO:0002181
RS3A,GO:0003735
RS4,GO:0003735
RS8,GO:0003735
SAHHA,GO:0004013
PP2AB,GO:0000159
ZASP.2.1.4.m.8660,GO:0001725
COR1B,GO:0001725
ZASP.1.1.m.927,GO:0001725
SPTCA,GO:0003779
ZAN,GO:0005886
TBA.1.6.m.12217,GO:0005200
TBA.5.6.m.37448,GO:0005200
TBA1,GO:0000226
TBA8,GO:0000226
